stratum,train_size,val_size,test_size,purged_size,train_min,train_max,val_min,val_max,test_min,test_max
thursday|Web Attack - SQL Injection - Attempted,1,0,2,2,2017-07-06 13:35:27.852814198,2017-07-06 13:35:27.852814198,,,2017-07-06 13:35:33.801349163,2017-07-06 13:35:45.720612049
thursday|Web Attack - XSS,9,2,5,2,2017-07-06 13:16:16.603214025,2017-07-06 13:24:44.263170004,2017-07-06 13:26:51.162032127,2017-07-06 13:27:55.703973055,2017-07-06 13:30:07.664614916,2017-07-06 13:34:28.136240959
thursday|Web Attack - XSS - Attempted,363,89,197,6,2017-07-06 13:15:35.283859015,2017-07-06 13:26:39.663312912,2017-07-06 13:26:46.078238964,2017-07-06 13:29:21.418781042,2017-07-06 13:29:27.793081045,2017-07-06 13:35:21.109336138
tuesday|BENIGN,176284,43732,94532,558,2017-07-04 11:53:44.398273945,2017-07-04 16:39:46.381046057,2017-07-04 16:39:46.422528982,2017-07-04 17:39:38.790296078,2017-07-04 17:39:38.807870865,2017-07-04 20:00:30.041662931
tuesday|FTP-Patator,2215,549,1192,16,2017-07-04 12:19:20.152475834,2017-07-04 12:53:22.414577961,2017-07-04 12:53:31.170633078,2017-07-04 13:02:02.832592964,2017-07-04 13:02:12.326782942,2017-07-04 13:20:13.627944946
tuesday|FTP-Patator - Attempted,2,0,4,6,2017-07-04 12:17:52.838272095,2017-07-04 12:22:57.275274038,,,2017-07-04 12:24:34.048240185,2017-07-04 12:24:34.048803091
tuesday|SSH-Patator,1651,406,888,16,2017-07-04 17:09:01.049615860,2017-07-04 17:43:24.388978004,2017-07-04 17:43:37.697664976,2017-07-04 17:51:53.052645206,2017-07-04 17:52:04.287352085,2017-07-04 19:04:15.353690147
tuesday|SSH-Patator - Attempted,15,4,8,0,2017-07-04 17:30:10.220178843,2017-07-04 18:08:51.786640882,2017-07-04 18:08:53.087496042,2017-07-04 18:09:01.993438005,2017-07-04 18:09:03.999535084,2017-07-04 18:09:06.297231197
wednesday|BENIGN,178498,44595,95736,290,2017-07-05 11:42:42.084372044,2017-07-05 16:45:39.916762829,2017-07-05 16:45:39.989402056,2017-07-05 17:38:39.865741968,2017-07-05 17:38:43.516525030,2017-07-05 20:10:14.557249069
wednesday|DoS GoldenEye,3980,329,2270,988,2017-07-05 14:10:03.231752872,2017-07-05 14:13:58.674265146,2017-07-05 14:14:06.842757225,2017-07-05 14:17:24.990186930,2017-07-05 14:17:59.366334915,2017-07-05 14:19:49.515444994
wednesday|DoS GoldenEye - Attempted,44,8,24,4,2017-07-05 14:10:03.272375107,2017-07-05 14:11:22.170340061,2017-07-05 14:11:22.188549042,2017-07-05 14:11:22.188717127,2017-07-05 14:11:22.192588091,2017-07-05 14:11:34.247394085
wednesday|DoS Hulk,88675,22089,47540,164,2017-07-05 13:43:23.194703817,2017-07-05 13:53:07.006742001,2017-07-05 13:53:07.023742914,2017-07-05 13:55:37.656543016,2017-07-05 13:55:37.708481073,2017-07-05 14:01:34.512067080
wednesday|DoS Hulk - Attempted,32,0,174,375,2017-07-05 13:44:26.848472118,2017-07-05 13:58:10.194165945,,,2017-07-05 14:00:57.616628885,2017-07-05 14:07:21.326170921
wednesday|DoS Slowhttptest,704,138,522,376,2017-07-05 13:15:37.936810017,2017-07-05 13:22:18.884366035,2017-07-05 13:22:22.553966999,2017-07-05 13:25:54.882054806,2017-07-05 13:25:59.498506069,2017-07-05 13:35:18.764957905
wednesday|DoS Slowhttptest - Attempted,1607,432,1010,319,2017-07-05 13:15:38.709208012,2017-07-05 13:25:59.017971992,2017-07-05 13:26:02.025311947,2017-07-05 13:32:49.031866789,2017-07-05 13:32:49.035945892,2017-07-05 13:37:49.330190182
wednesday|DoS Slowloris,1871,232,1158,598,2017-07-05 12:48:54.539219856,2017-07-05 12:59:57.851279974,2017-07-05 13:00:38.000827789,2017-07-05 13:02:53.937057018,2017-07-05 13:03:52.803231955,2017-07-05 13:10:11.354290962
wednesday|DoS Slowloris - Attempted,1031,257,554,5,2017-07-05 12:48:46.211817026,2017-07-05 12:58:40.023186922,2017-07-05 12:58:43.025582075,2017-07-05 13:02:57.154855013,2017-07-05 13:03:00.176623106,2017-07-05 13:10:34.560235023
wednesday|Heartbleed,6,2,3,0,2017-07-05 18:12:15.650810957,2017-07-05 18:22:16.969602108,2017-07-05 18:24:17.224705935,2017-07-05 18:26:17.478448153,2017-07-05 18:28:17.732008934,2017-07-05 18:32:18.242051125
