protocol,partition,label_original,family,y_binary,is_attempted,n
random,train,FTP-Patator,FTP-Patator,1,False,2224
random,train,FTP-Patator - Attempted,BENIGN,0,True,6
random,train,Heartbleed,Heartbleed,1,False,6
random,train,Infiltration,Infiltration,1,False,20
random,train,Infiltration - Attempted,BENIGN,0,True,25
random,train,Infiltration - Portscan,Portscan,1,False,40190
random,train,Portscan,Portscan,1,False,89077
random,train,SSH-Patator,SSH-Patator,1,False,1658
random,train,SSH-Patator - Attempted,BENIGN,0,True,15
random,train,Web Attack - Brute Force,Web Attack - Brute Force,1,False,41
random,train,Web Attack - Brute Force - Attempted,BENIGN,0,True,723
random,train,Web Attack - SQL Injection,Web Attack - SQL Injection,1,False,7
random,train,Web Attack - SQL Injection - Attempted,BENIGN,0,True,2
random,train,Web Attack - XSS,Web Attack - XSS,1,False,10
random,train,Web Attack - XSS - Attempted,BENIGN,0,True,366
random,val,BENIGN,BENIGN,0,False,221559
random,val,Botnet,Botnet,1,False,103
random,val,Botnet - Attempted,BENIGN,0,True,569
random,val,DDoS,DDoS,1,False,13320
random,val,DoS GoldenEye,DoS GoldenEye,1,False,1059
random,val,DoS GoldenEye - Attempted,BENIGN,0,True,11
random,val,DoS Hulk,DoS Hulk,1,False,22186
random,val,DoS Hulk - Attempted,BENIGN,0,True,81
random,val,DoS Slowhttptest,DoS Slowhttptest,1,False,244
random,val,DoS Slowhttptest - Attempted,BENIGN,0,True,472
random,val,DoS Slowloris,DoS Slowloris,1,False,540
random,val,DoS Slowloris - Attempted,BENIGN,0,True,259
random,val,FTP-Patator,FTP-Patator,1,False,556
random,val,FTP-Patator - Attempted,BENIGN,0,True,2
random,val,Heartbleed,Heartbleed,1,False,2
random,val,Infiltration,Infiltration,1,False,5
random,val,Infiltration - Attempted,BENIGN,0,True,6
random,val,Infiltration - Portscan,Portscan,1,False,10047
random,val,Portscan,Portscan,1,False,22269
random,val,SSH-Patator,SSH-Patator,1,False,415
random,val,SSH-Patator - Attempted,BENIGN,0,True,4
random,val,Web Attack - Brute Force,Web Attack - Brute Force,1,False,10
random,val,Web Attack - Brute Force - Attempted,BENIGN,0,True,181
random,val,Web Attack - SQL Injection,Web Attack - SQL Injection,1,False,2
random,val,Web Attack - SQL Injection - Attempted,BENIGN,0,True,1
random,val,Web Attack - XSS,Web Attack - XSS,1,False,3
random,val,Web Attack - XSS - Attempted,BENIGN,0,True,92
