day,label,n,first,last_start,last_end,span_min,src_ips,dst_ips,dst_ports,median_gap_s,top_gaps_min,bursts_gap>60s,bursts_gap>300s,bursts_gap>900s
thursday,Infiltration,36,2017-07-06 17:19:02.547209978,2017-07-06 18:44:24.375292063,2017-07-06 18:46:09.364731073,85.3638013680776,2,1,1,124.72473096847534,"10.8, 9.5, 4.6",30,3,1
tuesday,FTP-Patator - Attempted,12,2017-07-04 12:17:52.838272095,2017-07-04 12:24:34.048803091,2017-07-04 12:24:34.089353085,6.686842183272044,1,1,1,0.0026519298553466797,"5.1, 1.6, 0.0",3,2,1
tuesday,FTP-Patator,3972,2017-07-04 12:19:20.152476072,2017-07-04 13:20:13.627944946,2017-07-04 13:20:17.175200939,60.891257814566295,1,1,1,0.20752692222595215,"0.2, 0.2, 0.2",1,1,1
tuesday,SSH-Patator,2961,2017-07-04 17:09:01.049616098,2017-07-04 19:04:15.353689909,2017-07-04 19:04:19.018486023,115.2384012301763,1,1,1,0.4987325668334961,"52.9, 0.6, 0.4",2,2,2
tuesday,SSH-Patator - Attempted,27,2017-07-04 17:30:10.220179081,2017-07-04 18:09:06.297230959,2017-07-04 18:09:06.337857008,38.934617531299594,1,1,1,0.44122445583343506,"16.9, 16.3, 3.9",5,3,3
wednesday,DoS Slowloris - Attempted,1847,2017-07-05 12:48:46.211817026,2017-07-05 13:10:34.560235023,2017-07-05 13:11:18.500956058,21.805806966622672,1,1,1,0.1522890329360962,"0.6, 0.3, 0.3",1,1,1
wednesday,DoS Slowloris,3859,2017-07-05 12:48:54.539220095,2017-07-05 13:10:11.354290962,2017-07-05 13:11:02.609409094,21.280251181125642,1,1,1,0.0003600120544433594,"0.2, 0.1, 0.1",1,1,1
wednesday,DoS Slowhttptest,1740,2017-07-05 13:15:37.936810017,2017-07-05 13:35:18.764957905,2017-07-05 13:36:04.416698933,19.680469131469728,1,1,1,0.005211830139160156,"2.9, 2.5, 1.2",4,1,1
wednesday,DoS Slowhttptest - Attempted,3368,2017-07-05 13:15:38.709208012,2017-07-05 13:37:49.330189943,2017-07-05 13:37:49.331516981,22.177016365528107,1,1,1,0.0051729679107666016,"6.3, 3.0, 2.9",6,2,1
wednesday,DoS Hulk,158468,2017-07-05 13:43:23.194704056,2017-07-05 14:01:34.512067080,2017-07-05 14:01:43.402013063,18.188622717062632,1,1,1,0.0009860992431640625,"0.9, 0.3, 0.3",1,1,1
wednesday,DoS Hulk - Attempted,581,2017-07-05 13:44:26.848472118,2017-07-05 14:07:21.326170921,2017-07-05 14:07:21.328058004,22.9079616467158,1,1,1,2.5987625122070312e-05,"5.3, 2.2, 1.9",9,2,1
wednesday,DoS GoldenEye,7567,2017-07-05 14:10:03.231753111,2017-07-05 14:19:49.515444994,2017-07-05 14:20:08.915717840,9.77139486471812,1,1,1,0.0005639791488647461,"3.2, 0.3, 0.3",2,1,1
wednesday,DoS GoldenEye - Attempted,80,2017-07-05 14:10:03.272375107,2017-07-05 14:11:34.247394085,2017-07-05 14:11:34.249481916,1.5162503163019816,1,1,1,0.00043010711669921875,"1.2, 0.1, 0.1",2,1,1
wednesday,Heartbleed,11,2017-07-05 18:12:15.650810957,2017-07-05 18:32:18.242050886,2017-07-05 18:32:43.294454813,20.04318733215332,1,1,1,120.25513637065887,"2.0, 2.0, 2.0",11,1,1
