strategy,label,n_train,n_test,test_vector_in_train_any_label,test_vector_in_train_same_label,test_coarse_vector_in_train,test_flow_id_in_train,median_s_to_nearest_train_same_label
A_chrono_within_label,FTP-Patator - Attempted,8,4,0.0,0.0,1.0,1.0,0.0008831024169921875
A_chrono_within_label,Heartbleed,7,4,0.0,0.0,0.0,1.0,300.6350725889206
A_chrono_within_label,Infiltration,25,11,0.0,0.0,0.0,1.0,875.9721519947052
A_chrono_within_label,Infiltration - Attempted,31,14,0.0,0.0,0.9285714285714286,0.0,75.005868434906
A_chrono_within_label,Infiltration - Portscan,50236,21531,0.9320050160234081,0.9320050160234081,0.9992104407598347,0.000789559240165343,371.8197820186615
A_chrono_within_label,Portscan,111346,47720,0.9891450125733445,0.9891450125733445,0.9980930427493714,0.007292539815590947,31.591508984565735
A_chrono_within_label,SSH-Patator,2072,889,0.0,0.0,0.9347581552305961,0.006749156355455568,547.6248090267181
A_chrono_within_label,SSH-Patator - Attempted,18,9,0.0,0.0,0.8888888888888888,0.0,4.250213146209717
A_chrono_within_label,Web Attack - Brute Force,51,22,0.0,0.0,0.0,0.9090909090909091,371.26571702957153
A_chrono_within_label,Web Attack - Brute Force - Attempted,904,388,0.0,0.0,1.0,0.9974226804123711,347.6340390443802
A_chrono_within_label,Web Attack - SQL Injection,9,4,0.0,0.0,0.25,1.0,42.28652894496918
A_chrono_within_label,Web Attack - SQL Injection - Attempted,3,2,0.0,0.0,0.5,1.0,5.959992527961731
A_chrono_within_label,Web Attack - XSS,12,6,0.0,0.0,0.0,1.0,230.03292191028595
A_chrono_within_label,Web Attack - XSS - Attempted,458,197,0.0,0.0,1.0,1.0,179.21372604370117
A_chrono_purged_train,BENIGN,1106313,474772,0.12024087351402357,0.12023876723985408,0.7508088092810865,0.5060871323498437,4040.0739965438843
A_chrono_purged_train,Botnet,514,221,0.0,0.0,0.9321266968325792,0.02262443438914027,252.3342568874359
A_chrono_purged_train,Botnet - Attempted,2845,1221,0.7624897624897625,0.7624897624897625,1.0,0.000819000819000819,2930.8355581760406
A_chrono_purged_train,DDoS,66093,28544,0.0,0.0,0.9950602578475336,0.8345361547085202,174.77919709682465
A_chrono_purged_train,DoS GoldenEye,4567,2271,0.0,0.0,0.22104799647732276,1.0,79.51649808883667
A_chrono_purged_train,DoS GoldenEye - Attempted,53,24,0.0,0.0,1.0,1.0,8.547667026519775
A_chrono_purged_train,DoS Hulk,110831,47541,0.0,0.0,0.6933173471319493,1.0,151.6706280708313
A_chrono_purged_train,DoS Hulk - Attempted,32,175,0.0,0.0,1.0,1.0,497.89916610717773
A_chrono_purged_train,DoS Slowhttptest,1112,522,0.0,0.0,0.06130268199233716,0.9865900383141762,142.23737692832947
A_chrono_purged_train,DoS Slowhttptest - Attempted,2318,1011,0.0,0.0,0.9950544015825915,1.0,41.850749015808105
A_chrono_purged_train,DoS Slowloris,2393,1158,0.0,0.0,0.689119170984456,1.0,228.0944859981537
A_chrono_purged_train,DoS Slowloris - Attempted,1289,555,0.0018018018018018018,0.0018018018018018018,0.8666666666666667,1.0,261.13106298446655
A_chrono_purged_train,FTP-Patator,2770,1192,0.0,0.0,0.8322147651006712,0.008389261744966443,553.7324234247208
A_chrono_purged_train,FTP-Patator - Attempted,2,4,0.0,0.0,1.0,1.0,96.77322602272034
A_chrono_purged_train,Heartbleed,6,4,0.0,0.0,0.0,1.0,420.8901764154434
A_chrono_purged_train,Infiltration,24,11,0.0,0.0,0.0,1.0,1001.4371559619904
A_chrono_purged_train,Infiltration - Attempted,30,14,0.0,0.0,0.9285714285714286,0.0,85.00654649734497
A_chrono_purged_train,Infiltration - Portscan,50229,21531,0.9320050160234081,0.9320050160234081,0.9992104407598347,0.000789559240165343,371.8198800086975
A_chrono_purged_train,Portscan,111344,47720,0.9891450125733445,0.9891450125733445,0.9980930427493714,0.007271584241408215,31.59156906604767
A_chrono_purged_train,SSH-Patator,2062,889,0.0,0.0,0.9347581552305961,0.00562429696287964,557.8146359920502
A_chrono_purged_train,SSH-Patator - Attempted,17,9,0.0,0.0,0.1111111111111111,0.0,12.93546199798584
A_chrono_purged_train,Web Attack - Brute Force,49,22,0.0,0.0,0.0,0.9090909090909091,437.0533080101013
A_chrono_purged_train,Web Attack - Brute Force - Attempted,900,388,0.0,0.0,1.0,0.9974226804123711,353.9362269639969
A_chrono_purged_train,Web Attack - SQL Injection,8,4,0.0,0.0,0.25,1.0,54.43001997470856
A_chrono_purged_train,Web Attack - SQL Injection - Attempted,1,2,0.0,0.0,0.5,1.0,11.908166527748108
A_chrono_purged_train,Web Attack - XSS,10,6,0.0,0.0,0.0,1.0,358.04935896396637
A_chrono_purged_train,Web Attack - XSS - Attempted,454,197,0.0,0.0,1.0,1.0,186.94618916511536
A_chrono_embargo_120s,BENIGN,1107794,467635,0.12053203887647418,0.12052990045655265,0.7507628813070023,0.50606348968747,4121.823143959045
A_chrono_embargo_120s,Botnet,515,166,0.0,0.0,0.9096385542168675,0.030120481927710843,294.5468245744705
A_chrono_embargo_120s,Botnet - Attempted,2846,1190,0.7579831932773109,0.7579831932773109,1.0,0.0,3029.6337419748306
A_chrono_embargo_120s,DDoS,66600,18699,0.0,0.0,0.9937964597037274,0.8350713941922028,234.7253279685974
A_chrono_embargo_120s,DoS Hulk,110927,27549,0.0,0.0,0.6785727249627935,1.0,218.20381498336792
A_chrono_embargo_120s,DoS Hulk - Attempted,406,150,0.0,0.0,1.0,1.0,334.5166726112366
A_chrono_embargo_120s,DoS Slowhttptest,1218,269,0.0,0.0,0.11895910780669144,0.9739776951672863,448.7371370792389
A_chrono_embargo_120s,DoS Slowhttptest - Attempted,2357,128,0.0,0.0,0.9765625,1.0,300.24984312057495
A_chrono_embargo_120s,DoS Slowloris,2701,812,0.0,0.0,0.5566502463054187,1.0,245.21728551387787
A_chrono_embargo_120s,DoS Slowloris - Attempted,1292,423,0.002364066193853428,0.002364066193853428,0.8250591016548463,1.0,313.0330550670624
A_chrono_embargo_120s,FTP-Patator,2780,1062,0.0,0.0,0.8210922787193974,0.006591337099811676,604.1810785531998
A_chrono_embargo_120s,Heartbleed,7,4,0.0,0.0,0.0,1.0,300.6350725889206
A_chrono_embargo_120s,Infiltration,25,11,0.0,0.0,0.0,1.0,875.9721519947052
A_chrono_embargo_120s,Infiltration - Attempted,31,3,0.0,0.0,0.6666666666666666,0.0,130.0106749534607
A_chrono_embargo_120s,Infiltration - Portscan,50236,17492,0.9306540132632061,0.9306540132632061,0.9994283100846101,0.0007431968900068603,427.3258125782013
A_chrono_embargo_120s,Portscan,111346,20071,0.9815156195505954,0.9815156195505954,0.9954660953614668,0.0069254147775397335,895.3535687923431
A_chrono_embargo_120s,SSH-Patator,2072,785,0.0,0.0,0.9286624203821656,0.007643312101910828,623.8734390735626
A_chrono_embargo_120s,Web Attack - Brute Force,51,19,0.0,0.0,0.0,0.9473684210526315,419.3838860988617
A_chrono_embargo_120s,Web Attack - Brute Force - Attempted,904,322,0.0,0.0,1.0,1.0,408.4424765110016
A_chrono_embargo_120s,Web Attack - XSS,12,5,0.0,0.0,0.0,1.0,263.5821318626404
A_chrono_embargo_120s,Web Attack - XSS - Attempted,458,130,0.0,0.0,1.0,1.0,238.53193497657776
A_chrono_embargo_600s,BENIGN,1107794,437076,0.12070212045502383,0.12069983252340553,0.7502470966147764,0.5044317235446467,4534.280855298042
A_chrono_embargo_600s,Botnet,515,28,0.0,0.0,1.0,0.0,828.4540444612503
A_chrono_embargo_600s,Botnet - Attempted,2846,1100,0.7481818181818182,0.7481818181818182,1.0,0.0,3232.431568145752
A_chrono_embargo_600s,FTP-Patator,2780,534,0.0,0.0,0.8202247191011236,0.003745318352059925,842.6428875923157
A_chrono_embargo_600s,Infiltration,25,7,0.0,0.0,0.0,1.0,1217.3387100696564
A_chrono_embargo_600s,Infiltration - Attempted,31,1,0.0,0.0,1.0,0.0,7202.465606927872
A_chrono_embargo_600s,Infiltration - Portscan,50236,4379,0.9187029002055264,0.9187029002055264,0.9995432747202557,0.0009134505594884677,610.6875541210175
A_chrono_embargo_600s,Portscan,111346,20069,0.9816134336538941,0.9816134336538941,0.9954656435298221,0.006826448751806268,895.3535788059235
A_chrono_embargo_600s,SSH-Patator,2072,403,0.0,0.0,0.8982630272952854,0.004962779156327543,851.1785900592804
A_chrono_embargo_600s,Web Attack - Brute Force,51,4,0.0,0.0,0.0,1.0,662.6087510585785
A_chrono_embargo_600s,Web Attack - Brute Force - Attempted,904,54,0.0,0.0,1.0,1.0,645.3043241500854
B_burst_holdout_last_burst,BENIGN,1107794,474772,0.12024087351402357,0.12023876723985408,0.7508930602478664,0.5064852181678785,4036.8111679553986
B_burst_holdout_last_burst,Botnet,515,221,0.0,0.0,0.9321266968325792,0.02262443438914027,251.46010398864746
B_burst_holdout_last_burst,Botnet - Attempted,2846,1221,0.7624897624897625,0.7624897624897625,1.0,0.000819000819000819,2930.7645411491394
B_burst_holdout_last_burst,DDoS,66600,28544,0.0,0.0,0.9950602578475336,0.8345711883408071,173.9213410615921
B_burst_holdout_last_burst,DoS GoldenEye,5296,2271,0.0,0.0,0.22501100836635843,1.0,45.141266107559204
B_burst_holdout_last_burst,DoS GoldenEye - Attempted,56,24,0.0,0.0,1.0,1.0,8.543844938278198
B_burst_holdout_last_burst,DoS Hulk,110927,47541,0.0,0.0,0.6933383816074546,1.0,151.61966514587402
B_burst_holdout_last_burst,DoS Hulk - Attempted,431,150,0.0,0.0,1.0,1.0,334.4208345413208
B_burst_holdout_last_burst,DoS Slowhttptest,1218,522,0.0,0.0,0.41379310344827586,0.9865900383141762,137.6261429786682
B_burst_holdout_last_burst,DoS Slowhttptest - Attempted,2288,1080,0.0,0.0,0.7407407407407407,1.0,418.15167462825775
B_burst_holdout_last_burst,DoS Slowloris,2701,1158,0.0,0.0,0.689119170984456,1.0,169.22925305366516
B_burst_holdout_last_burst,DoS Slowloris - Attempted,1292,555,0.0018018018018018018,0.0018018018018018018,0.8666666666666667,1.0,257.0125880241394
B_burst_holdout_last_burst,FTP-Patator,2780,1192,0.0,0.0,0.8322147651006712,0.010067114093959731,544.3678685426712
B_burst_holdout_last_burst,FTP-Patator - Attempted,1,11,0.0,0.0,0.0,1.0,401.2051558494568
B_burst_holdout_last_burst,Heartbleed,7,4,0.0,0.0,0.0,1.0,300.6350725889206
B_burst_holdout_last_burst,Infiltration,15,21,0.0,0.0,0.0,0.0,2185.394520044327
B_burst_holdout_last_burst,Infiltration - Attempted,44,1,0.0,0.0,1.0,1.0,7072.454931974411
B_burst_holdout_last_burst,Infiltration - Portscan,2974,68793,0.6188129606209934,0.6187402788074368,0.6283342781969096,7.268181355661187e-05,3017.7616000175476
B_burst_holdout_last_burst,Portscan,150049,9017,0.9845846733946989,0.9845846733946989,0.999889098369746,0.005434179882444272,476.4141960144043
B_burst_holdout_last_burst,SSH-Patator,2960,1,0.0,0.0,0.0,1.0,3175.0831727981567
B_burst_holdout_last_burst,SSH-Patator - Attempted,3,24,0.0,0.0,0.375,0.3333333333333333,1108.836543560028
B_burst_holdout_last_burst,Web Attack - Brute Force,51,22,0.0,0.0,0.0,0.9090909090909091,371.26571702957153
B_burst_holdout_last_burst,Web Attack - Brute Force - Attempted,904,388,0.0,0.0,1.0,0.9974226804123711,347.6340390443802
B_burst_holdout_last_burst,Web Attack - SQL Injection,9,4,0.0,0.0,0.25,1.0,42.28652894496918
B_burst_holdout_last_burst,Web Attack - SQL Injection - Attempted,3,2,0.0,0.0,0.5,1.0,5.959992527961731
B_burst_holdout_last_burst,Web Attack - XSS,12,6,0.0,0.0,0.0,1.0,230.03292191028595
B_burst_holdout_last_burst,Web Attack - XSS - Attempted,458,197,0.0,0.0,1.0,1.0,179.21372604370117
