label,n_label,source_file,source_row,novel,score,outcome,top_toward_attack,top_toward_benign
Web Attack - XSS,5,thursday.csv,198236,True,0.875523,TP,Bwd Init Win Bytes=931 (+1.85); Fwd PSH Flags=77 (+1.34); Subflow Fwd Bytes=156 (+0.81),Bwd PSH Flags=77 (-1.05); RST Flag Count=0 (-0.32); ACK Flag Count=237 (-0.24)
Web Attack - XSS,5,thursday.csv,252932,True,0.978315,TP,Fwd PSH Flags=101 (+2.35); Bwd Init Win Bytes=1150 (+1.97); Down/Up Ratio=0.512195 (+0.85),Bwd PSH Flags=101 (-1.05); Fwd Packet Length Max=585 (-0.25); ACK Flag Count=309 (-0.24)
Infiltration,11,thursday.csv,74165,True,0.0118372,FN,Fwd PSH Flags=25 (+1.56); Total Fwd Packet=25 (+0.94); Bwd Packet Length Mean=0 (+0.60),RST Flag Count=0 (-1.36); SYN Flag Count=0 (-0.99); Bwd Init Win Bytes=1452 (-0.39)
Infiltration,11,thursday.csv,75443,True,0.00844662,FN,Fwd PSH Flags=20 (+1.58); Total Fwd Packet=20 (+0.95); Bwd Packet Length Mean=0 (+0.62),RST Flag Count=0 (-1.36); SYN Flag Count=0 (-0.97); Bwd Init Win Bytes=1452 (-0.49)
Infiltration,11,thursday.csv,76465,True,0.0253727,FN,Bwd Packet Length Mean=0 (+1.21); Fwd Packet Length Mean=396.824 (+0.70); Fwd PSH Flags=34 (+0.56),RST Flag Count=0 (-1.60); SYN Flag Count=0 (-0.77); Fwd Seg Size Min=20 (-0.28)
Infiltration,11,thursday.csv,77112,True,0.246151,TP,Total Length of Bwd Packet=0 (+1.68); Bwd IAT Max=1.0366e+08 (+1.40); Bwd Packet Length Mean=0 (+1.11),RST Flag Count=0 (-1.19); SYN Flag Count=0 (-0.63); Bwd Init Win Bytes=1452 (-0.34)
Infiltration,11,thursday.csv,78593,True,0.003236,FN,Fwd PSH Flags=26 (+0.98); Bwd Packet Length Mean=0 (+0.61); Bwd Segment Size Avg=0 (+0.47),RST Flag Count=0 (-1.49); SYN Flag Count=0 (-1.03); Bwd Init Win Bytes=1452 (-0.39)
Infiltration,11,thursday.csv,79782,True,0.00844662,FN,Fwd PSH Flags=20 (+1.58); Total Fwd Packet=20 (+0.95); Bwd Packet Length Mean=0 (+0.62),RST Flag Count=0 (-1.36); SYN Flag Count=0 (-0.97); Bwd Init Win Bytes=1452 (-0.48)
Infiltration,11,thursday.csv,81193,True,0.0207637,FN,Bwd Packet Length Mean=0 (+1.17); Fwd Packet Length Mean=349.733 (+0.70); Bwd Segment Size Avg=0 (+0.47),RST Flag Count=0 (-1.75); SYN Flag Count=0 (-0.79); Fwd Seg Size Min=20 (-0.30)
Infiltration,11,thursday.csv,82838,True,0.003236,FN,Fwd PSH Flags=26 (+0.95); Bwd Packet Length Mean=0 (+0.62); Bwd Segment Size Avg=0 (+0.47),RST Flag Count=0 (-1.59); SYN Flag Count=0 (-1.06); Bwd Init Win Bytes=1452 (-0.40)
Infiltration,11,thursday.csv,84482,True,0.0118372,FN,Fwd PSH Flags=21 (+1.58); Total Fwd Packet=21 (+0.95); Bwd Packet Length Mean=0 (+0.61),RST Flag Count=0 (-1.37); SYN Flag Count=0 (-0.96); Bwd Init Win Bytes=1452 (-0.39)
Infiltration,11,thursday.csv,85775,True,0.0198111,FN,Bwd Packet Length Mean=0 (+1.18); Fwd Packet Length Mean=357.22 (+0.70); Fwd Act Data Pkts=40 (+0.46),RST Flag Count=0 (-1.76); SYN Flag Count=0 (-0.79); Fwd Seg Size Min=20 (-0.30)
Infiltration,11,thursday.csv,135083,True,0.00705311,FN,RST Flag Count=1 (+4.13); Bwd PSH Flags=0 (+0.63); Fwd Bytes/Bulk Avg=1869 (+0.37),SYN Flag Count=0 (-1.75); ACK Flag Count=17 (-0.68); Bwd IAT Total=1.04989e+08 (-0.61)
Web Attack - Brute Force,22,thursday.csv,23550,True,0.979039,TP,Fwd PSH Flags=101 (+2.35); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.52531e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,132222,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.42125e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,134242,True,0.979039,TP,Fwd PSH Flags=101 (+2.35); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.5249e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,142020,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.39557e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,164540,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.26019e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,168238,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.42405e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,169155,True,0.979039,TP,Fwd PSH Flags=101 (+2.35); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.51674e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,195108,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.30066e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,196404,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.40207e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,201903,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.39225e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,214479,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.29193e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,217308,True,0.905886,TP,Bwd Init Win Bytes=1063 (+1.85); Fwd PSH Flags=89 (+1.46); Subflow Fwd Bytes=141 (+0.81),Bwd PSH Flags=89 (-1.00); Flow Duration=3.04244e+07 (-0.25); Fwd Packet Length Max=602 (-0.24)
Web Attack - Brute Force,22,thursday.csv,219186,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.41416e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,250423,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.41925e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,254825,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.29015e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,257870,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.45234e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,259756,True,0.979039,TP,Fwd PSH Flags=101 (+2.35); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.51803e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,282070,True,0.979039,TP,Fwd PSH Flags=101 (+2.35); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.52067e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,289045,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.30066e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,312831,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1176 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.39891e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,333604,True,0.979265,TP,Fwd PSH Flags=101 (+2.37); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.29629e+07 (-0.23)
Web Attack - Brute Force,22,thursday.csv,335957,True,0.979265,TP,Fwd PSH Flags=101 (+2.36); Bwd Init Win Bytes=1174 (+1.98); Down/Up Ratio=0.514706 (+0.90),Bwd PSH Flags=101 (-0.99); Fwd Packet Length Max=602 (-0.25); Flow Duration=3.43065e+07 (-0.23)
